Varenavn;Pris;Volum;Alkohol;AlkPerKrone
Ca` del Masso Barbera Appassimento 2016;399.9;3;13;0.097524381
Amore Passo Malvasia Nera Primitivo 2017;399.9;3;13;0.097524381
João Portugal Ramos Smart Dog 2017;399.9;3;13;0.097524381
Casa Nogal 2014;399.9;3;13;0.097524381
Boutique Cellars Swartland Reserve 2017;399.9;3;13;0.097524381
Santa Digna Sauvignon Blanc 2016;399.9;3;13;0.097524381
Chill Out Bold & Generous 2015;399.9;3;13;0.097524381
Marqués de Somera Macabeo;399.9;3;13;0.097524381
Porrais Douro 2016;399.9;3;13;0.097524381
JMF Tinto 2016;399.9;3;13;0.097524381
Hoya de Cadenas Monastrell Petit Verdot;399.9;3;13;0.097524381
Boretti Negroamaro Passiamo Vigne Vecchi 2014;399.9;3;13;0.097524381
Robertson Chenin Blanc 2017;384.9;3;12.5;0.097427903
Félix Solis Viña Albali Verdejo;385;3;12.5;0.097402597
Félix Solis Viña Albali Tempranillo;400.7;3;13;0.097329673
Western Cellars Colombard-Chardonnay;369.9;3;12;0.097323601
Santa Carolina Cellar Selection Cabernet Sauvignon;354.5;3;11.5;0.097320169
Trulli Primitivo 2011;100.2;0.75;13;0.097305389
African Spirit Pinotage/Shiraz;418.5;3;13.5;0.096774194
Vign. des Miran Côtes-du-Rhône;449.9;3;14.5;0.096688153
Casillero del Diablo Cabernet Sauvignon 2016;387.9;3;12.5;0.096674401
KWV Chardonnay;403.8;3;13;0.096582467
Darling Cellars Tabiso Shiraz 2016;435;3;14;0.096551724
Lindeman's Cawarra Shiraz Cabernet 2017;104.9;0.75;13.5;0.096520496
Legendario Añejo Blanco;290.3;0.7;40;0.096451946
Bod. Bienvenido Tempranillo 2015;419.9;3;13.5;0.096451536
Lindeman's Bin 45 Cabernet Sauvignon 2017;419.9;3;13.5;0.096451536
Rawson's Retreat Shiraz Cabernet 2017;419.9;3;13.5;0.096451536
Everyday Wine Tempranillo 2014;419.9;3;13.5;0.096451536
André Brunel Le Mistral Chardonnay;419.9;3;13.5;0.096451536
Quinta da Espiga 2016;1245;10;12;0.096385542
Condor Peak Torrontés 2017;269.9;2;13;0.096331975
Pietro di Campo Silenzio Barbera 2016;404.9;3;13;0.096320079
Settesoli Cataratto Chardonnay 2017;389.9;3;12.5;0.096178507
Lindeman's Shiraz Cabernet 2017;389.9;3;12.5;0.096178507
Alta Côrte;389.9;3;12.5;0.096178507
Trulli Chardonnay 2017;389.9;3;12.5;0.096178507
Valpantena Garganega;389.9;3;12.5;0.096178507
Torre Beratxa Garnacha Rosado 2016;389.9;3;12.5;0.096178507
La Huella;436.9;3;14;0.096131838
Viña Maipo Mi Pueblo Sauvignon Blanc 2017;89.9;0.75;11.5;0.095939933
Tavernello;119.9;1;11.5;0.095913261
Canepa Classico Cabernet Sauvignon 2017;239.9;2;11.5;0.095873281
Neumer Weinmann Liter Riesling tr 2015;130.6;1;12.5;0.095712098
Santa Carolina Vistanna Chardonnay 2016;407.9;3;13;0.09561167
Prohibition Zinfandel 2015;455;3;14.5;0.095604396
Scotts Creek Growling Frog Chardonnay 2016;423.9;3;13.5;0.095541401
Marqués de Nombrevilla Old Vines Garnacha 2017;109.9;0.75;14;0.095541401
Dworek Vodka;392.9;1;37.5;0.095444133
Lavignone Barbera;424.9;3;13.5;0.095316545
Due Passi Appassimento;425;3;13.5;0.095294118
Rent Brennevin 60 %;441.1;0.7;60;0.095216504
Explorer Vodka;393.9;1;37.5;0.095201828
Vespa Barbera 2017;409.9;3;13;0.095145157
Vanitá Vigneti del Salento;409.9;3;13;0.095145157
Castelforte Appassimento 2016;409.9;3;13;0.095145157
Santa Carolina Chardonnay 2017;102.5;0.75;13;0.095121951
Sewnsawine Airén;378.7;3;12;0.095062054
Sensawine Rosé;378.7;3;12;0.095062054
Murviedro Phauno Espiritu de Bobal;394.9;3;12.5;0.09496075
Adegamáe Pinta Negra Tinto;426.9;3;13.5;0.094869993
Sunrise Cabernet Sauvignon 2017;94.9;0.75;12;0.09483667
Bodegas Luzòn Carmina Luna Organic Monastrell;443.2;3;14;0.094765343
Dunavár Chardonnay 2018;379.9;3;12;0.094761779
El Copero;379.9;3;12;0.094761779
Cant. Povero Bella Fiore Piemonte Chardonnay 2017;379.9;3;12;0.094761779
Marqués de Chivé Tempranillo Crianza 2018;379.9;3;12;0.094761779
Arrow Ruby Cabernet;379.9;3;12;0.094761779
Grand Sud Merlot 2016;379.9;3;12;0.094761779
Masi Modello Rosso 2017;379.9;3;12;0.094761779
Caminos Cabernet Sauvignon/Merlot;379.9;3;12;0.094761779
Bennati Indue 2016;95;0.75;12;0.094736842
Gnarly Head Old Vine Zin 2016;459.9;3;14.5;0.09458578
Kalinka;396.9;1;37.5;0.094482237
Saladini Pilastri Rosso Piceno 2017;412.9;3;13;0.094453863
Cavis La Catarina Barbera d´Alba 2011;99.3;0.75;12.5;0.094410876
Cuvée Christer Berens Primitivo;429;3;13.5;0.094405594
Cameleon Malbec 2017;309.9;2.25;13;0.094385286
Santa Julia Tintillo Bonarda Malbec;413.4;3;13;0.094339623
Gato Negro Cabernet Sauvignon 2017;349.9;3;11;0.094312661
Valpantena Incanto 2015;399.9;2.9;13;0.094273568
Espelt Old Vines Garnacha 2015;413.9;3;13;0.094225658
Barbarello Zinfandel 2017;429.9;3;13.5;0.094207955
Villa Pallato Riposato 2015;429.9;3;13.5;0.094207955
Paolo Leo Passitivo Primitivo;429.9;3;13.5;0.094207955
Dimazzo Primitivo Puglia;429.9;3;13.5;0.094207955
Solo Passione Rosso Veronese;430;3;13.5;0.094186047
Conte Ricci Barbera 2016;414.7;3;13;0.094043887
Periquita Reserva 2016;414.9;3;13;0.093998554
Grevinnen & Hovmesteren Hovmesterens utvalgte rødvin;415;3;13;0.093975904
Il Segreto Zinfandel 2015;431.4;3;13.5;0.093880389
Scotts Creek Growling Frog Shiraz 2015;447.5;3;14;0.093854749
Concha y Toro Syrah 2017;91.9;0.75;11.5;0.093852013
Blossom Hill;99.9;0.75;12.5;0.093843844
Thr3 Monkeys Red 2015;99.9;0.75;12.5;0.093843844
Gato Negro Rosé 2017;99.9;0.75;12.5;0.093843844
Berberana Pink Dragon 2017;99.9;0.75;12.5;0.093843844
Tuscolana Rosso;99.9;0.75;12.5;0.093843844
Hagelsberg Merlot 2015;99.9;0.75;12.5;0.093843844
Ch. de Sours Rosé 2014;99.9;0.75;12.5;0.093843844
Portada 2016;99.9;0.75;12.5;0.093843844
Astica Chardonnay 2017;99.9;0.75;12.5;0.093843844
Vinogal 2015;99.9;0.75;12.5;0.093843844
Vinogal hvitvin;99.9;0.75;12.5;0.093843844
My Californian Pet 2016;99.9;0.75;12.5;0.093843844
Chill Out Crisp & Fresh Chenin Blanc;199.9;1.5;12.5;0.093796898
Gilbey's Special Dry Gin;279.9;0.7;37.5;0.093783494
Tommasi Adorato Appassionato 2017;399.9;3;12.5;0.093773443
Chill Out Fresh and Fruity Australian Chardonnay;399.9;3;12.5;0.093773443
Pasqua SanZeno Chardonnay 2016;399.9;3;12.5;0.093773443
À Table;399.9;3;12.5;0.093773443
Mulderbosch Cabernet Sauvignon Rosé;399.9;3;12.5;0.093773443
Tommasi Baciorosa Appassionato Rosé 2017;399.9;3;12.5;0.093773443
Estancia del Fuego 2015;399.9;3;12.5;0.093773443
Santa Ana Malbec 2017;399.9;3;12.5;0.093773443
Ruby Rosé;399.9;3;12.5;0.093773443
Casa Maria Verdejo 2017;399.9;3;12.5;0.093773443
Jacob's Creek Shiraz Cabernet;399.9;3;12.5;0.093773443
Santa Sofia Montefoscarino Soave Classico 2017;100;0.75;12.5;0.09375
Glenwood Blended Scotch Whisky;299.9;0.7;40;0.093364455
Santa Carolina Carmenère Rosé 2017;104.5;0.75;13;0.093301435
SomeZin White Zinfandel 2016;369.9;3;11.5;0.093268451
Rent Brennevin 60 %;321.9;0.5;60;0.093196645
Peter Dawson Special;429.9;1;40;0.093044894
Florette Rosé 2015;104.8;0.75;13;0.093034351
Promenade Blanc;354.9;3;11;0.092983939
Welmoed Chenin Blanc 2018;108.9;0.75;13.5;0.092975207
Hardys VR Merlot 2017;104.9;0.75;13;0.092945663
Gato Negro Merlot 2017;104.9;0.75;13;0.092945663
Valpantena Corvina 2016;104.9;0.75;13;0.092945663
Barone Ricasoli Formulae 2015;419.9;3;13;0.092879257
Doppio Passo Salento Primitivo 2015;419.9;3;13;0.092879257
Torres Coronas 2016;419.9;3;13;0.092879257
La Baume Chardonnay 2017;419.9;3;13;0.092879257
Concha y Toro Cabernet Sauvignon 2017;92.9;0.75;11.5;0.092841765
Canepa Classico Cabernet Sauvignon 2017;92.9;0.75;11.5;0.092841765
